ahdhn@daisy:~/nanobench/build$ ./NanoBench 

 Total number of device: 4
 Using device Number: 3
 Device name: Tesla V100-DGXS-32GB
 Compute Capability: 7.0
  Total amount of global memory: 32478
 (80) Multiprocessors, ( 64) CUDA Cores/MP: 5120 CUDA Cores
 GPU Max Clock rate: 1530 MHz (1.53 GHz)
 Memory Clock rate: 877 Mhz
 Memory Bus Width:  4096-bit
 Peak Memory Bandwidth: 898.048000(GB/s)
 Kernels compiled for compute capability: 700

 ****** Bench Driver with 1 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00230144     0.00829744     3.60533        
2              4              0.00227824     0.0084112      3.69197        
3              8              0.0022848      0.00869504     3.8056         
4              16             0.0023176      0.00861952     3.71916        
5              32             0.0023032      0.00868624     3.77138        
6              64             0.00231168     0.008692       3.76004        
7              128            0.00235856     0.00867472     3.67797        
8              256            0.00242848     0.00873328     3.59619        
9              512            0.00253968     0.00879568     3.4633         
10             1024           0.00249264     0.0087536      3.51178        
11             2048           0.00252464     0.0086864      3.44065        
12             4096           0.00254416     0.00865216     3.40079        
13             8192           0.0025432      0.00875008     3.44058        
14             16384          0.00259344     0.00894        3.44716        
15             32768          0.00280848     0.0088224      3.14134        
16             65536          0.003112       0.00932944     2.99789        
17             131072         0.0036128      0.00993248     2.74925        
18             262144         0.00461312     0.0106542      2.30955        
19             524288         0.0163146      0.0224603      1.3767         
20             1048576        0.0345         0.0406363      1.17786        
21             2097152        0.0650813      0.0713786      1.09676        
22             4194304        0.126137       0.132386       1.04954        
23             8388608        0.249721       0.256528       1.02726        
24             16777216       0.4956         0.505839       1.02066        
 ****** Bench Driver with 1 nodes Started ******
 ****** Bench Driver with 5 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00205824     0.0080288      3.90081        
2              4              0.002072       0.00837568     4.04232        
3              8              0.00202368     0.0080616      3.98363        
4              16             0.00203536     0.00804096     3.95063        
5              32             0.00202944     0.00812736     4.00473        
6              64             0.00205152     0.00805184     3.92482        
7              128            0.0020864      0.00816064     3.91135        
8              256            0.00220752     0.0080224      3.63412        
9              512            0.00223808     0.00834416     3.72827        
10             1024           0.00223152     0.00844704     3.78533        
11             2048           0.00226032     0.00875952     3.87534        
12             4096           0.00227312     0.00836144     3.6784         
13             8192           0.00230112     0.00825952     3.58935        
14             16384          0.00231296     0.00837328     3.62016        
15             32768          0.00250976     0.0086288      3.4381         
16             65536          0.00273712     0.00869616     3.17712        
17             131072         0.00313808     0.00929632     2.96242        
18             262144         0.004012       0.00995632     2.48164        
19             524288         0.0164477      0.0223275      1.35749        
20             1048576        0.0346504      0.0406754      1.17388        
21             2097152        0.0658914      0.0720531      1.09351        
22             4194304        0.12614        0.132306       1.04888        
23             8388608        0.249704       0.256013       1.02526        
24             16777216       0.495574       0.508375       1.02583        
 ****** Bench Driver with 5 nodes Started ******
 ****** Bench Driver with 10 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00205568     0.00799856     3.89096        
2              4              0.00202896     0.00810672     3.9955         
3              8              0.00203088     0.00807792     3.97755        
4              16             0.00203136     0.00811376     3.99425        
5              32             0.00202464     0.0085         4.19828        
6              64             0.00203744     0.00811424     3.98257        
7              128            0.0021032      0.00808208     3.84275        
8              256            0.00216144     0.00803728     3.71848        
9              512            0.00219808     0.00810048     3.68525        
10             1024           0.0022408      0.00850752     3.79664        
11             2048           0.00222992     0.0081744      3.66578        
12             4096           0.00226688     0.00854352     3.76885        
13             8192           0.002276       0.00824464     3.62243        
14             16384          0.00228464     0.008244       3.60845        
15             32768          0.0025         0.00874096     3.49638        
16             65536          0.00274128     0.0086832      3.16757        
17             131072         0.00314592     0.00935184     2.97269        
18             262144         0.00403488     0.0101355      2.51198        
19             524288         0.0163987      0.0226322      1.38012        
20             1048576        0.0344386      0.0408237      1.18541        
21             2097152        0.0650474      0.0712467      1.09531        
22             4194304        0.126079       0.132356       1.04978        
23             8388608        0.249745       0.256517       1.02712        
24             16777216       0.495651       0.505903       1.02068        
 ****** Bench Driver with 10 nodes Started ******
 ****** Bench Driver with 50 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00209968     0.0085056      4.0509         
2              4              0.0020208      0.00800064     3.95915        
3              8              0.0020288      0.00813664     4.01057        
4              16             0.00203632     0.00810896     3.98216        
5              32             0.00202912     0.00832368     4.10211        
6              64             0.00204592     0.00803376     3.92672        
7              128            0.0021464      0.00823776     3.83794        
8              256            0.00216416     0.0080728      3.73022        
9              512            0.0022112      0.00799584     3.61606        
10             1024           0.00222256     0.00810832     3.64819        
11             2048           0.00228576     0.00813584     3.55936        
12             4096           0.00224624     0.00803968     3.57917        
13             8192           0.00228256     0.00807664     3.53841        
14             16384          0.00229072     0.00816928     3.56625        
15             32768          0.00249584     0.00868704     3.48061        
16             65536          0.0027544      0.00905728     3.2883         
17             131072         0.00313264     0.00938176     2.99484        
18             262144         0.00402736     0.0100346      2.4916         
19             524288         0.0164187      0.022441       1.36679        
20             1048576        0.0346565      0.0407827      1.17677        
21             2097152        0.0658675      0.0720432      1.09376        
22             4194304        0.127758       0.133951       1.04847        
23             8388608        0.249675       0.255933       1.02507        
24             16777216       0.495624       0.50688        1.02271        
 ****** Bench Driver with 50 nodes Started ******
 ****** Bench Driver with 100 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00205056     0.00813632     3.96785        
2              4              0.00204848     0.00810864     3.95837        
3              8              0.00201808     0.00798336     3.95592        
4              16             0.0020328      0.0080376      3.95395        
5              32             0.00210352     0.00840272     3.9946         
6              64             0.00205024     0.00801632     3.90994        
7              128            0.00209392     0.00804704     3.84305        
8              256            0.00216208     0.00804624     3.72153        
9              512            0.00223584     0.00804304     3.59732        
10             1024           0.00224032     0.00805632     3.59606        
11             2048           0.0022304      0.00808736     3.62597        
12             4096           0.00226048     0.00862768     3.81675        
13             8192           0.0022648      0.008444       3.72836        
14             16384          0.0023         0.00811424     3.52793        
15             32768          0.0024928      0.00897296     3.59955        
16             65536          0.00274576     0.00871024     3.17225        
17             131072         0.00313072     0.00963872     3.07876        
18             262144         0.0040296      0.0104224      2.58646        
19             524288         0.0163634      0.0227608      1.39096        
20             1048576        0.0347142      0.0409312      1.17909        
21             2097152        0.0658254      0.0720899      1.09517        
22             4194304        0.126113       0.132461       1.05033        
23             8388608        0.249757       0.256059       1.02523        
24             16777216       0.495632       0.50579        1.02049        
 ****** Bench Driver with 100 nodes Started ******
 ****** Bench Driver with 200 nodes Started ******
Exp            Size           GraphTime      StreamTime     Speedup        

1              2              0.00205136     0.00803008     3.91452        
2              4              0.00216864     0.00805008     3.71204        
3              8              0.00202688     0.00801472     3.95422        
4              16             0.00203088     0.00811248     3.99456        
5              32             0.00208736     0.00835872     4.00445        
6              64             0.00205008     0.00806528     3.93413        
7              128            0.0020864      0.00801696     3.84248        
8              256            0.00215552     0.00803296     3.72669        
9              512            0.00220112     0.0080648      3.66395        
10             1024           0.0022496      0.00809248     3.5973         
11             2048           0.00219728     0.00810656     3.68936        
12             4096           0.00221216     0.00856416     3.8714         
13             8192           0.00226688     0.00845248     3.72868        
14             16384          0.00227344     0.00804512     3.53874        
15             32768          0.00249584     0.00881808     3.53311        
16             65536          0.00272816     0.00864912     3.17031        
17             131072         0.00310336     0.00933504     3.00804        
18             262144         0.00398672     0.0102008      2.55869        
19             524288         0.0163725      0.0225821      1.37927        
20             1048576        0.0346506      0.040803       1.17756        
21             2097152        0.0658238      0.0718741      1.09192        
22             4194304        0.127804       0.133902       1.04772        
23             8388608        0.253064       0.259093       1.02382        
24             16777216       0.49677        0.506212       1.01901        
 ****** Bench Driver with 200 nodes Started ******
